Title,Link,Topic
Mice in Bion-M 1 space mission: training and selection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,Other
"Microgravity induces pelvic bone loss through osteoclastic activity, osteocytic osteolysis, and osteoblastic cell cycle inhibition by CDKN1a/p21",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/,Human Health
Stem Cell Health and Tissue Regeneration in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/,Human Health
Microgravity Reduces the Differentiation and Regenerative Potential of Embryonic Stem Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/,Microgravity
Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/,Microgravity
Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/,Microgravity
Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/,Human Health
From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460236/,Other
High-precision method for cyclic loading of small-animal vertebrae to assess bone quality.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/,Human Health
Effects of ex vivo ionizing radiation on collagen structure and whole-bone mechanical properties of mouse vertebrae.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/,Human Health
Absence of gamma-sarcoglycan alters the response of p70S6 kinase to mechanical perturbation in murine skeletal muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4095884/,Human Health
AtRabD2b and AtRabD2c have overlapping functions in pollen development and pollen tube growth.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3040128/,Plants
TNO1 is involved in salt tolerance and vacuolar trafficking in Arabidopsis.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3177255/,Plants
Functional redundancy between trans-Golgi network SNARE family members in Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11500582/,Plants
Root growth movements: Waving and skewing.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,Plants
Gravitropism and lateral root emergence are dependent on the trans-Golgi network protein TNO1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4642138/,Plants
"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,Plants
The Drosophila SUN protein Spag4 cooperates with the coiled-coil protein Yuri Gagarin to maintain association of the basal body and spermatid nucleus.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2915878/,Cell Biology
Toll mediated infection response is altered by gravity and spaceflight in Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3901686/,Microgravity
Multi-omics analysis of multiple missions to space reveal a theme of lipid dysregulation in mouse liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6985101/,Other
GeneLab database analyses suggest long-term impact of space radiation on the cardiovascular system by the activation of FYN through reactive oxygen species.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/,Human Health
FAIRness and usability for open-access omics data systems.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371294/,Other
NASA GeneLab platform utilized for biological response to space radiation in animal models,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,Radiation
Circulating miRNA spaceflight signature reveals targets for countermeasure development,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/,Microgravity
Machine learning algorithm to characterize antimicrobial resistance associated with the International Space Station surface microbiome,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9400218/,Other
Extraterrestrial Gynecology: Could Spaceflight Increase the Risk of Developing Cancer in Female Astronauts? An Updated Review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9267413/,Microgravity
Muscle atrophy phenotype gene expression during spaceflight is linked to a metabolic crosstalk in both the liver and the muscle in mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9576569/,Human Health
Chromosomal positioning and epigenetic architecture influence DNA methylation patterns triggered by galactic cosmic radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10789781/,Radiation
"A comprehensive SARS-CoV-2 and COVID-19 review, Part 2: Host extracellular to systemic effects of SARS-CoV-2 infection",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10772081/,Cell Biology
Aging and putative frailty biomarkers are altered by spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166946/,Microgravity
Space radiation damage rescued by inhibition of key spaceflight associated miRNAs,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166944/,Radiation
Ethical considerations for the age of non-governmental space exploration,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166968/,Other
Innate immune responses of Drosophila melanogaster are altered by spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000411/,Human Health
